fecha	cols	rows	boosting	objective	metric	data_sample_strategy	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	feature_fraction	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231130 184519	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1145	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.270445758565329	81	10024	0.737727804752649	0.0443453135719756	12	0.876958090113476	0.0291288102162071	12050	154619295.352324	29
20231130 184837	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	508	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.141138009848073	68	4875	0.662296515444177	0.885693535366445	36	0.325814945157617	0.307901018939447	12608	164783400.29985	30
20231130 185939	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	983	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.189255524924956	54	13513	0.572459602920571	0.664809232313419	45	0.600980482413433	0.218970589223318	10920	160749105.447276	31
20231130 190314	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	459	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.281680607562885	29	5525	0.706740301055834	0.158387470971793	34	0.167558200657368	0.655412453459576	12460	156997371.314343	32
20231130 191426	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	977	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.138565426409464	56	9497	0.582053216103196	0.947123724541486	37	0.561355546667379	0.25163662913576	11866	160792672.663668	33
20231130 191844	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	553	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.134792845886742	73	4192	0.633456324690937	0.804103060499201	34	0.307781766206149	0.496600487844443	11473	159856376.311844	34
20231130 192210	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.165452979618615	78	3988	0.657402661950145	0.859754149456075	35	0.419772819554552	0.306774341177661	11341	160121445.777111	35
20231130 193242	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1398	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.128848528808717	53	4298	0.577852184208855	0.759076005857403	36	0.242898922236976	0.144457202717559	10909	157583926.536732	36
20231130 193814	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	750	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.146230959693889	67	4646	0.716523502816717	0.480243025596311	36	0.169220094187148	0.235011791481665	13175	158198688.155922	37
20231130 194157	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	398	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.144860191645004	76	4064	0.660708029280926	0.946141856337972	36	0.404999858211523	0.421085742100262	9519	160853076.961519	38
